"nh.nh_I"	"nh.nh_C"	"no.no_I"	"no.no_C"	"toti.toti_I"	"toti.toti_C"	"ammon.ammon_I"	"ammon.ammon_C"	"nitrif.nitrif_I"	"nitrif.nitrif_C"	"nminz.nminz_I"	"nminz.nminz_C"	"soilN.soilN_I"	"soilN.soilN_C"	"SOM.SOM_I"	"SOM.SOM_C"	"soilcn.soilcn_I"	"soilcn.soilcn_C"	"microbialcn.microbialcn_I"	"microbialcn.microbialcn_C"	"soilmoi.soilmoi_I"	"soilmoi.soilmoi_C"	"pH.pH_I"	"pH.pH_C"
"54"	13.42	17.45	13.17	17.92	26.59	35.37	NA	NA	NA	NA	NA	NA	0.09	0.08	9.91	17.13	NA	NA	NA	NA	NA	NA	5.37	4.16
"55"	1.73	1.11	1.1	1.46	2.83	2.57	NA	NA	NA	NA	NA	NA	0.04	0.02	NA	NA	NA	NA	NA	NA	NA	NA	6.13	6.88
"56"	2.37	1.48	1.18	0.74	3.55	2.22	NA	NA	NA	NA	NA	NA	0.04	0.02	NA	NA	NA	NA	NA	NA	NA	NA	6.28	6.78
"57"	1.97	1.4	1.71	0.54	3.68	1.94	NA	NA	NA	NA	NA	NA	0.08	0.04	NA	NA	NA	NA	NA	NA	NA	NA	5.77	7.12
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64	0.69	NA	NA	13.92	13.25	NA	NA	47	42	NA	NA
"59"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	0.52	NA	NA	17.36	14.29	NA	NA	19	11	NA	NA
"60"	2.46	1.6	1.45	1.8	3.91	3.4	NA	NA	12.836	1.161	NA	NA	0.12	0.06	NA	NA	17	22	NA	NA	9.16	4.32	4.26	4.56
"61"	NA	NA	NA	NA	NA	NA	1.947	1.717	NA	NA	NA	NA	0.06	0.08	2.6	2.9	20.94	15.88	9.97	8.09	4.45	7.25	5.15	5.35
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	7.13	4.1	16.9	6.3	24.03	10.4	NA	NA	1.936	1.406	3.98	3.48	NA	NA	NA	NA	15.93	13.51	7.67	9.81	NA	NA	7.2	7.4
"64"	NA	NA	7.4	7.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	3.4	NA	NA	NA	NA	NA	NA	6	5.3
"65"	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	5.3	4.5
"66"	NA	NA	3.6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4	4.3	NA	NA	NA	NA	NA	NA	5.5	4.9
"67"	NA	NA	3.4	8.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4	5.2	NA	NA	NA	NA	NA	NA	4.9	4.5
"68"	8.63	2.19	0.68	0.56	9.31	2.75	NA	NA	NA	NA	NA	NA	NA	NA	7.77	10.66	NA	NA	NA	NA	NA	NA	4.18	3.74
"69"	6.52	2.19	0.6	0.56	7.12	2.75	NA	NA	NA	NA	NA	NA	NA	NA	9.13	10.66	NA	NA	NA	NA	NA	NA	3.59	3.74
"70"	16.36	2.19	1.61	0.56	17.96	2.75	NA	NA	NA	NA	NA	NA	NA	NA	12.87	10.66	NA	NA	NA	NA	NA	NA	3.71	3.74
"71"	4.8	2.19	0.57	0.56	5.37	2.75	NA	NA	NA	NA	NA	NA	NA	NA	11.12	10.66	NA	NA	NA	NA	NA	NA	3.76	3.74
"72"	20.64	2.19	1.77	0.56	22.42	2.75	NA	NA	NA	NA	NA	NA	NA	NA	12.14	10.66	NA	NA	NA	NA	NA	NA	3.82	3.74
"73"	33.48	30.97	NA	NA	NA	NA	NA	NA	NA	NA	3.68	4.5	NA	NA	NA	NA	NA	NA	22.86	23.89	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.51	0.86	1.09	NA	NA	NA	NA	48.93	12.72	NA	NA	NA	NA
"75"	33.35	30.97	NA	NA	NA	NA	NA	NA	NA	NA	5.46	4.5	NA	NA	NA	NA	NA	NA	30.32	23.89	NA	NA	NA	NA
"76"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41	3.51	1.07	1.09	NA	NA	NA	NA	61.8	12.72	NA	NA	NA	NA
"77"	NA	NA	NA	NA	NA	NA	1.1912	1.18	1.3477	1.3202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA	NA	1.0651	1.0805	3.0688	3.107	0.25	0.29	NA	NA	16.25	16.87	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA	NA	1.0398	1.1128	3.1565	3.1945	0.25	0.25	NA	NA	14.85	14.16	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9805	2.9853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.87	3.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.74	5.73
"82"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.79	7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2	5.67
"83"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.24	8.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.75	5.26
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.51	3.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37	6.12
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	5.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.88	5.29
"86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	3.78	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.86	7.47
"88"	NA	NA	NA	NA	14	33	NA	NA	NA	NA	3.2195	3.2783	0.15	0.14	NA	NA	13.3	11.7	5.1	4	NA	NA	NA	NA
"89"	2.15	2.59	3.38	3.98	5.53	6.57	NA	NA	NA	NA	NA	NA	0.35	0.33	NA	NA	18.62	19.03	NA	NA	NA	NA	7.6	7.62
"90"	NA	NA	NA	NA	2.26	9.28	NA	NA	NA	NA	NA	NA	0.19	0.17	NA	NA	11.26	11.13	NA	NA	NA	NA	6.2	6.23
"91"	NA	NA	NA	NA	1.67	2.97	NA	NA	NA	NA	NA	NA	0.3	0.33	NA	NA	12.06	12.35	NA	NA	NA	NA	6.14	6.17
"92"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	0.8	NA	NA	2	1.81	NA	NA	NA	NA	6.51	6.5
"93"	NA	NA	NA	NA	20.9	19.21	1.178	1.1583	1.2967	1.214	3.4017	3.2997	0.26	0.21	NA	NA	11.89	12.78	NA	NA	31.6	22.6	6.5	6.6
"94"	6.64	4.57	3.28	1.47	9.92	6.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.35	4.16	NA	NA
"95"	4.43	4.58	2.46	1.8	6.89	6.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.79	3.89	NA	NA
"96"	2.57	2.11	12.81	6.74	15.38	8.85	NA	NA	NA	NA	3.015	2.998	0.08	0.03	2.29	1.07	16.2	20.6	NA	NA	NA	NA	NA	NA
"97"	1.97	1.73	2.47	2	4.44	3.73	NA	NA	NA	NA	2.9864	2.9895	0.05	0.01	2.47	0.92	25.6	35.2	NA	NA	NA	NA	NA	NA
"98"	3.5	1.29	1.29	0.36	4.79	1.65	1.037	1.039	1.002	1.0001	2.978	2.976	0.79	0.76	NA	NA	45.65	47.13	NA	NA	NA	NA	NA	NA
"99"	1.34	1.41	0.5	0.36	1.84	1.77	1.045	1.045	1.012	1.014	2.986	2.986	0.77	0.91	NA	NA	47	37.15	NA	NA	NA	NA	NA	NA
"100"	1.39	1.32	0.49	0.33	1.88	1.65	1.051	1.0471	1.01	1.012	2.986	2.986	0.9	0.71	NA	NA	38.75	41.63	NA	NA	NA	NA	NA	NA
"101"	3.74	5.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.9	20.2	NA	NA	NA	NA	NA	NA	NA	NA
"102"	3.74	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.61	20.2	NA	NA	NA	NA	NA	NA	NA	NA
"103"	3.39	1.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.21	4.19	NA	NA	NA	NA	NA	NA	NA	NA
"104"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	12.52	11.54	50.74	NA	NA	NA	NA
"105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	12.16	11.54	34.61	NA	NA	NA	NA
"106"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	12.81	11.54	31.98	NA	NA	NA	NA
"107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	13.5	11.54	15.99	NA	NA	NA	NA
"108"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	12.64	11.54	38.5	NA	NA	NA	NA
"109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.32	12.88	11.54	14.85	NA	NA	NA	NA
"110"	12.6	1.9	2.8	0.2	15.4	2.1	NA	NA	1.306	1.0346	4.2371	3.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	2.9	2.2	1e-04	1e-04	2.9	2.2	NA	NA	1.0061	1.0061	3.03	2.8443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	2.4	0.6	1e-04	1e-04	2.4	0.6	NA	NA	1.0061	1.0061	3.1657	2.9586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	1.77	1.38	0.01	1e-04	1.77	1.38	1.097	1.057	1.0061	1.0061	3.05	2.99	1.67	1.89	79.12	83.65	NA	NA	NA	NA	75.92	80.8	NA	NA
"114"	1.4	1.6	2.5	2.8	3.9	4.4	NA	NA	NA	NA	NA	NA	0.11	0.08	3.3	3.2	NA	NA	NA	NA	NA	NA	7.7	7.6
"115"	2.1	1.0001	3.2	3	5.3	4	NA	NA	NA	NA	NA	NA	0.04	0.02	2.3	1.1	NA	NA	NA	NA	NA	NA	5.4	5.2
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	0.09	2.45	2.8	NA	NA	NA	NA	4.18	3.48	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	0.01	2.45	0.82	NA	NA	NA	NA	4.18	2.45	NA	NA
"118"	0.02	1e-04	0.02	0.05	0.04	0.06	NA	NA	NA	NA	NA	NA	0.12	0.17	NA	NA	NA	NA	NA	NA	NA	NA	6.3	5.2
