"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"60"	"Aechmea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	7.142857142	NA
"61"	"Aegiceras"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33471428571429	NA	NA	NA	NA	7.19399999966667	NA
"62"	"Aegilops"	17.7	NA	NA	NA	NA	NA	NA	NA	1.19143254975	2.52320416666667	NA	NA	NA	NA	25.8555576862234	NA
"63"	"Aegiphila"	NA	NA	NA	NA	NA	NA	NA	NA	1.51083068133333	2.57938632471429	NA	NA	NA	NA	24.2821634495306	NA
"64"	"Aegle"	NA	NA	NA	NA	NA	NA	NA	NA	2.21178	1.93	NA	NA	NA	NA	8.72600349	NA
"65"	"Aegopodium"	12.542927137	NA	NA	NA	NA	NA	NA	NA	1.04693316366667	2.98555936523	NA	NA	NA	NA	28.9668133379091	NA
"66"	"Aeluropus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45571428571429	NA	NA	NA	NA	NA	NA
"67"	"Aeschynanthus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.901518218	NA
"68"	"Aesculus"	NA	NA	NA	NA	NA	NA	NA	NA	1.43132113366667	2.17189999999	NA	NA	NA	NA	14.2923422453077	35.3
"69"	"Aetheopappus"	NA	NA	NA	NA	NA	NA	NA	NA	1.533153507	2.861710809	NA	NA	NA	NA	18.665520413	NA
"70"	"Aethusa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.31	NA
"71"	"Aextoxicon"	NA	NA	NA	NA	NA	NA	NA	NA	1.288108108	1.01	NA	NA	NA	NA	7.645	NA
"72"	"Afzelia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.99	NA	NA	NA	NA	NA	NA
"73"	"Agapanthus"	NA	NA	NA	NA	NA	NA	NA	NA	1.618865519	2.54	NA	NA	NA	NA	15.69	NA
"74"	"Agapetes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.681818181	NA
"75"	"Agastache"	NA	NA	NA	NA	NA	NA	NA	NA	2.61	2.1	NA	NA	NA	NA	10.8	NA
"76"	"Agathis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735	NA	NA	NA	NA	5.586592178	NA
"77"	"Agave"	NA	NA	NA	NA	NA	NA	NA	NA	4.3866171	1.87333333333333	NA	NA	NA	1.2	1.61350035285714	NA
"78"	"Ageratina"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.85971428571429	NA	NA	NA	NA	23.7259104145	NA
"79"	"Aglaia"	NA	NA	NA	NA	NA	NA	NA	NA	0.73486	2.365	NA	NA	NA	NA	13.743513957	NA
"80"	"Agonis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.05050505	NA
"81"	"Agoseris"	NA	NA	NA	NA	NA	NA	NA	NA	0.863299171	1.9925916753	NA	NA	NA	NA	18.45	NA
"82"	"Agrimonia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6675	NA	NA	NA	NA	19.340625	NA
"83"	"Agropyron"	14.7698117271	NA	NA	NA	NA	NA	NA	NA	1.2464321072	2.2671033316	NA	1.65554	NA	NA	22.10561187625	NA
"84"	"Agrostemma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.818	NA
"85"	"Agrostis"	15.6967900701429	NA	NA	NA	NA	NA	NA	NA	1.43179934308333	2.2670079737686	NA	0.912156657894737	NA	NA	28.8458028426071	31.2
"86"	"Ailanthus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	NA	NA	NA	NA	14.8232166666667	NA
"87"	"Aira"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6714583333333	NA
"88"	"Ajania"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7	NA	NA	NA	NA	9.082652134	NA
"89"	"Ajuga"	18.921318011	NA	NA	NA	NA	NA	NA	NA	0.990386449333333	2.03267493758	NA	NA	NA	0.8707	27.6238301275	NA
"90"	"Alangium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.865	NA	NA	NA	NA	27.777777777	NA
"91"	"Alberta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.944444444	NA
"92"	"Albizia"	NA	NA	NA	NA	NA	NA	NA	NA	3.7322830765	2.54578947368421	NA	NA	NA	NA	18.583025143875	NA
"93"	"Albizzia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA
"94"	"Alcea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.292	NA
"95"	"Alchemilla"	NA	NA	NA	NA	NA	NA	NA	NA	1.2502873885	2.31104482096923	NA	NA	NA	NA	18.954326791597	NA
"96"	"Alchornea"	20.749583333	NA	NA	NA	NA	NA	NA	NA	2.450461921	1.9806841066	NA	NA	NA	NA	16.5868854122258	NA
"97"	"Alchorneopsis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	NA	NA	NA	0.395	NA	NA
"98"	"Alder"	NA	26.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"Aldina"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA	NA	NA	NA	9.05999999990909	NA
"100"	"Alectryon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.45249420322222	NA
"101"	"Aleurites"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.92337880925	NA
"102"	"Aleuropus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA
"103"	"Alexa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.145	NA	NA	NA	NA	NA	NA
