"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"118"	"8"	"6"	"MeasID_8"	NA	NA	2	"0"	NA
"119"	"8"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"120"	"8"	"8"	"MeasID_10"	NA	NA	2	"0"	NA
"121"	"8"	"9"	"MeasID_11"	0.497584411605926	0.494827523596296	2	"2"	NA
"122"	"8"	"10"	"MeasID_12"	0.676230327975034	0.537162544524348	2	"2"	NA
"123"	"8"	"11"	"MeasID_13"	NA	NA	2	"0"	NA
"124"	"8"	"12"	"MeasID_14"	0.355697562222222	0.30591807111111	2	"2"	NA
"125"	"8"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"126"	"8"	"14"	"MeasID_16"	NA	NA	2	"0"	NA
"127"	"8"	"15"	"MeasID_17"	5.93754029849176	3.0321960576861	2	"2"	NA
"128"	"8"	"16"	"MeasID_18"	NA	NA	2	"0"	NA
"129"	"9"	"1"	"MeasID_3"	0	0.670198307985	2	"1"	NA
"130"	"9"	"2"	"MeasID_4"	NA	NA	2	"0"	NA
"131"	"9"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"132"	"9"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"133"	"9"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
"134"	"9"	"6"	"MeasID_8"	NA	NA	2	"0"	NA
"135"	"9"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"136"	"9"	"8"	"MeasID_10"	NA	NA	2	"0"	NA
"137"	"9"	"9"	"MeasID_11"	0	0.03254687946	2	"1"	NA
"138"	"9"	"10"	"MeasID_12"	0.278978	0.5044520507485	2	"2"	NA
"139"	"9"	"11"	"MeasID_13"	NA	NA	2	"0"	NA
"140"	"9"	"12"	"MeasID_14"	0	0.0309771800000001	2	"1"	NA
"141"	"9"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"142"	"9"	"14"	"MeasID_16"	NA	NA	2	"0"	NA
"143"	"9"	"15"	"MeasID_17"	0	0.851671025839092	2	"1"	NA
"144"	"9"	"16"	"MeasID_18"	NA	NA	2	"0"	NA
"145"	"10"	"1"	"MeasID_3"	6.031784771865	1.116997179975	2	"1"	NA
"146"	"10"	"2"	"MeasID_4"	NA	NA	2	"0"	NA
"147"	"10"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"148"	"10"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"149"	"10"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
"150"	"10"	"6"	"MeasID_8"	NA	NA	2	"0"	NA
