"obsID"	"nh_C"	"no_C"	"toti_C"	"ammon_C"	"nitrif_C"	"nminz_C"	"soilN_C"	"SOM_C"	"soilcn_C"	"microbialcn_C"	"soilmoi_C"	"pH_C"
"96"	96	2.11	6.74	8.85	NA	NA	0.018	0.03	1.07	20.6	NA	NA	NA
"97"	97	1.73	2	3.73	NA	NA	0.0095	0.01	0.92	35.2	NA	NA	NA
"98"	98	1.29	0.36	1.65	-0.008	-0.006	-0.004	0.76	NA	47.13	NA	NA	NA
"99"	99	1.41	0.36	1.77	-0.002	0.008	0.006	0.91	NA	37.15	NA	NA	NA
"100"	100	1.32	0.33	1.65	1e-04	0.006	0.006	0.71	NA	41.63	NA	NA	NA
"101"	101	5.44	NA	NA	NA	NA	NA	NA	20.2	NA	NA	NA	NA
"102"	102	2.45	NA	NA	NA	NA	NA	NA	20.2	NA	NA	NA	NA
"103"	103	1.72	NA	NA	NA	NA	NA	NA	4.19	NA	NA	NA	NA
"104"	104	NA	NA	NA	NA	NA	NA	NA	NA	12.52	50.74	NA	NA
"105"	105	NA	NA	NA	NA	NA	NA	NA	NA	12.16	34.61	NA	NA
"106"	106	NA	NA	NA	NA	NA	NA	NA	NA	12.81	31.98	NA	NA
"107"	107	NA	NA	NA	NA	NA	NA	NA	NA	13.5	15.99	NA	NA
"108"	108	NA	NA	NA	NA	NA	NA	NA	NA	12.64	38.5	NA	NA
"109"	109	NA	NA	NA	NA	NA	NA	NA	NA	12.88	14.85	NA	NA
"110"	110	1.9	0.2	2.1	NA	0.0286	0.2	NA	NA	NA	NA	NA	NA
"111"	111	2.2	0	2.2	NA	0	-0.1357	NA	NA	NA	NA	NA	NA
"112"	112	0.6	0	0.6	NA	0	-0.0214	NA	NA	NA	NA	NA	NA
"113"	113	1.38	0	1.38	0.01	1e-04	0.01	1.89	83.65	NA	NA	80.8	NA
"114"	114	1.6	2.8	4.4	NA	NA	NA	0.08	3.2	NA	NA	NA	7.6
"115"	115	1	3	4	NA	NA	NA	0.02	1.1	NA	NA	NA	5.2
"117"	117	NA	NA	NA	NA	NA	NA	0.01	0.82	NA	NA	2.45	NA
"118"	118	0	0.05	0.06	NA	NA	NA	0.17	NA	NA	NA	NA	5.2
