"obsID"	"nh_I"	"no_I"	"toti_I"	"ammon_I"	"nitrif_I"	"nminz_I"	"soilN_I"	"SOM_I"	"soilcn_I"	"microbialcn_I"	"soilmoi_I"	"pH_I"
"100"	100	1.39	0.49	1.88	0.004	0.004	0.006	0.9	NA	38.75	NA	NA	NA
"101"	101	3.74	NA	NA	NA	NA	NA	NA	20.9	NA	NA	NA	NA
"102"	102	3.74	NA	NA	NA	NA	NA	NA	19.61	NA	NA	NA	NA
"103"	103	3.39	NA	NA	NA	NA	NA	NA	6.21	NA	NA	NA	NA
"104"	104	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"105"	105	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"106"	106	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"107"	107	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"108"	108	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"109"	109	NA	NA	NA	NA	NA	NA	NA	NA	12.32	11.54	NA	NA
"110"	110	12.6	2.8	15.4	NA	0.3	1.2571	NA	NA	NA	NA	NA	NA
"111"	111	2.9	0	2.9	NA	0	0.05	NA	NA	NA	NA	NA	NA
"112"	112	2.4	0	2.4	NA	0	0.1857	NA	NA	NA	NA	NA	NA
"113"	113	1.77	0.01	1.77	0.05	1e-04	0.07	1.67	79.12	NA	NA	75.92	NA
"114"	114	1.4	2.5	3.9	NA	NA	NA	0.11	3.3	NA	NA	NA	7.7
"115"	115	2.1	3.2	5.3	NA	NA	NA	0.04	2.3	NA	NA	NA	5.4
"117"	117	NA	NA	NA	NA	NA	NA	0.09	2.45	NA	NA	4.18	NA
"118"	118	0.02	0.02	0.04	NA	NA	NA	0.12	NA	NA	NA	NA	6.3
