obsID	measAggNum	identifier1	identifier1unit	identifier2	identifier2unit	identifier3	identifier3unit	ma_InvMean	ma_InvVar	ma_InvN	ma_NatMean	ma_NatVar	ma_NatN	operation1	operation1order	operation2	operation2order	operation3	operation3order	notes
36.02	1	nh						1.3	0.25	10	0.96	0.23	10	add						
36.02	1	no						0.32	0.07	10	0.63	0.22	10	add						
40.01	1	C	%					1.96	0.455	6	1.785	0.455	6	divide	"C,N"					
40.01	1	N	%					0.143	0.018	6	0.132	0.019	6	divide	"C,N"					
40.02	1	C	%					2.87	0.42	6	3.29	0.455	6	divide	"C,N"					
40.02	1	N	%					0.196	0.03	6	0.224	0.025	6	divide	"C,N"					
40.03	1	C	%					3.325	0.385	6	3.43	0.42	6	divide	"C,N"					
40.03	1	N	%					0.241	0.019	6	0.245	0.02	6	divide	"C,N"					
40.04	1	C	%					3.255	0.35	6	4.13	0.385	6	divide	"C,N"					
40.04	1	N	%					0.208	0.016	6	0.264	0.021	6	divide	"C,N"					
40.05	1	C	%					3.71	0.35	6	3.92	0.42	6	divide	"C,N"					
40.05	1	N	%					0.221	0.033	6	0.245	0.017	6	divide	"C,N"					
40.06	1	C	%					3.85	0.385	6	3.955	0.455	6	divide	"C,N"					
40.06	1	N	%					0.32	0.02	6	0.319	0.026	6	divide	"C,N"					
40.07	1	C	%					4.97	0.49	6	4.585	0.35	6	divide	"C,N"					
40.07	1	N	%					0.37	0.016	6	0.36	0.016	6	divide	"C,N"					
40.08	1	C	%					6.79	0.7	6	7.7	0.665	6	divide	"C,N"					
40.08	1	N	%					0.311	0.029	6	0.341	0.02	6	divide	"C,N"					
40.09	1	C	%					9.59	1.82	6	10.22	2.625	6	divide	"C,N"					
40.09	1	N	%					0.39	0.06	6	0.395	0.079	6	divide	"C,N"					
48.01	1	nh						24.53	0.22	5	17.45	0.26	5	add						
48.01	1	no						24.33	0.35	5	17.92	0.22	5	add						
48.02	1	nh						20.87	0.28	5	17.45	0.26	5	add						
48.02	1	no						24.51	0.15	5	17.92	0.22	5	add						
48.03	1	nh						13.42	0.24	5	17.45	0.26	5	add						
48.03	1	no						13.17	0.17	5	17.92	0.22	5	add						
53.01	1	C1						2.366	0.234	4	1.494	0.269	4	average						
53.01	1	SMB						1.733	0.209	4	1.13	0.299	4	average						
53.01	1	WB						1.967	0.433	4	1.414	0.334	4	average						
53.01	2	C1						1.19	0.186	4	0.743	0.125	4	average						
53.01	2	SMB						1.119	0.121	4	1.471	0.221	4	average						
53.01	2	WB						1.707	0.351	4	0.547	0.111	4	average						
53.01	3	C1		nh				2.366	0.234	4	1.494	0.269	4	average		add				
53.01	3	C1		no				1.19	0.186	4	0.743	0.125	4	average		add				
53.01	3	SMB		nh				1.733	0.209	4	1.13	0.299	4	average		add				
53.01	3	SMB		no				1.119	0.121	4	1.471	0.221	4	average		add				
53.01	3	WB		nh				1.967	0.433	4	1.414	0.334	4	average		add				
53.01	3	WB		no				1.707	0.351	4	0.547	0.111	4	average		add				
53.01	4	AB						0.451	0.038	4	0.055	0.008	4	average						
53.01	4	C1						0.039	0.007	4	0.016	0.007	4	average						
53.01	4	SMB						0.045	0.004	4	0.016	0.004	4	average						
53.01	4	WB						0.085	0.009	4	0.036	0.004	4	average						
53.01	5	AB						5.57	0.11	4	5.05	0.18	4	average						
53.01	5	C1						6.28	0.12	4	6.78	0.049	4	average						
53.01	5	SMB						6.13	0.15	4	6.88	0.06	4	average						
53.01	5	WB						5.77	0.28	4	7.12	0.64	4	average						
58.01	1	Apr						19.059	2.327	4	22.475	3.02	4	average						
58.01	1	Aug						17.277	0.842	4	20.297	0.941	4	average						
58.01	1	Dec						29.307	0.643	4	30.099	0.941	4	average						
58.01	1	Feb						37.624	1.237	4	35.248	1.089	4	average						
58.01	1	Jan						27.228	0.841	4	26.04	0.891	4	average						
58.01	1	Jul						25.891	1.535	4	27.475	1.931	4	average						
58.01	1	Jun						33.218	0.841	4	36.931	0.99	4	average						
58.01	1	Mar						36.485	0.792	4	35.743	0.792	4	average						
58.01	1	May						34.851	1.535	4	34.851	1.436	4	average						
58.01	1	Nov						11.782	0.792	4	13.416	0.891	4	average						
58.01	1	Oct						14.703	1.04	4	17.228	1.039	4	average						
58.01	1	Sept						14.208	0.742	4	18.515	1.138	4	average						
58.01	2	Aug						0.185	0.045	4	0.118	0.055	4	average						
58.01	2	Dec						0.079	0.022	4	0.081	0.029	4	average						
58.01	2	Jun						0.153	0.057	4	0.207	0.094	4	average						
58.01	2	May						0.413	0.116	4	0.452	0.116	4	average						
58.01	2	Oct						0.087	0.027	4	0.083	0.024	4	average						
58.01	3	Aug						0.283	0.045	4	0.177	0.055	4	average						
58.01	3	Dec						0.161	0.022	4	0.124	0.029	4	average						
58.01	3	Jun						0.589	0.057	4	0.659	0.094	4	average						
58.01	3	May						0.435	0.116	4	0.536	0.116	4	average						
58.01	3	Oct						0.177	0.027	4	0.131	0.024	4	average						
58.01	4	Aug						0.468	0.045	4	0.295	0.055	4	average						
58.01	4	Dec						0.24	0.022	4	0.205	0.029	4	average						
58.01	4	Jun						0.742	0.057	4	0.866	0.094	4	average						
58.01	4	May						0.848	0.116	4	0.988	0.116	4	average						
58.01	4	Oct						0.264	0.027	4	0.214	0.024	4	average						
59.01	1	0-10cm						6.7	0.5	6	7.4	0.3	6	average						
59.01	1	10-20cm						6.7	0.4	6	7.4	0.3	6	average						
59.01	2	0-10cm						0.05	0.03	6	0.06	0.04	6	average						
59.01	2	10-20cm						0.06	0.03	6	0.06	0.03	6	average						
59.01	3	C	mg/kg					458	166	12	328	130	12	divide	"C,N"					
59.01	3	N	mg/kg					51	26	12	39	13	12	divide	"C,N"					
59.01	4	nh						5.5	6.1	6	4.1	5.5	6	add						
59.01	4	no						9.1	5.7	6	6.3	4.4	6	add						
59.02	1	0-10cm						7.1	0.8	6	7.4	0.3	6	average						
59.02	1	10-20cm						7.2	0.7	6	7.4	0.3	6	average						
59.02	2	0-10cm						0.05	0.03	6	0.06	0.04	6	average						
59.02	2	10-20cm						0.06	0.02	6	0.06	0.03	6	average						
59.02	3	C	mg/kg					435	183	6	328	130	6	divide	"C,N"					
59.02	3	N	mg/kg					59	32	6	39	13	6	divide	"C,N"					
59.02	4	nh						8.6	8.8	6	4.1	5.5	6	add						
59.02	4	no						21.9	17.1	6	6.3	4.4	6	add						
59.03	1	0-10cm						7.2	0.6	6	7.4	0.3	6	average						
59.03	1	10-20cm						7.2	0.6	6	7.4	0.3	6	average						
